nを切り捨てながらn2分の一にする	n //= n2
データフレームのあるカラムのタイムゾーンを設定する	df['列A'].tz_convert('Asia/Tokyo')
ブランチドアーモンド色のヒストグラムを描画する	plt.hist(データ列, color='blanchedalmond')
リストとリストについての散布図に赤い四角マーカーを描画する	plt.plot(データ列x, データ列y, marker='s', c='r')
折れ線グラフをミディアムブルー色で描画する	plt.plot(データ列x, データ列y, color='mediumblue')
散布図のバツマーカーを黒くする	plt.scatter(データ列x, データ列y, marker='x', markerfacecolor='k')
棒グラフの色をダークシアグリーンにする	plt.bar(データ列x, データ列y, color='darkseagreen')
散布図の色をアイボリーにする	plt.scatter(データ列x, データ列y, color='ivory')
折れ線グラフを赤い実線で描画する	plt.plot(データ列x, データ列y, linestyle='solid', color='r')
赤い横棒グラフを描画する	plt.barh(データ列x, データ列y, color='r')
option: グラフの色をライトスレイグレーに設定する	color = 'lightslategray'
option: パールバイオレットレッド色を使う	color = 'palevioletred'
ヒストグラムの色をライムに設定する	plt.hist(データ列, color='lime')
最初のを除いたデータフレーム	df[df.columns[1:]]
option: マーカーの色をシルバーにする	markerfacecolor = 'silver'
折れ線グラフをネイビー色で描画する	plt.plot(データ列x, データ列y, color='navy')
棒グラフの色を白にする	plt.bar(データ列x, データ列y, color='white')
リストとリストについて散布図を描画して、その大きさをnに設定する	plt.scatter(データ列x, データ列y, s=n)
散布図の色をロージーブラウンにする	plt.scatter(データ列x, データ列y, color='rosybrown')
タプルの平均値	sum(aTuple)/len(aTuple)
大バツ印でデータ列の折れ線グラフを描画する	plt.plot(データ列x, データ列y, marker='X')
横棒グラフの色をライムにする	plt.barh(データ列x, データ列y, color='lime')
option: マーカーをポイントに変更する	marker = '.'
サポートベクター回帰モデルを作る	model = sklearn.svm.SVR(kernel='rbf', C=1e3, gamma=0.1, epsilon=0.1)
パレットトルコイズ色の線グラフを描画する	plt.plot(データ列x, データ列y, color='paleturquoise')
データシリーズにおいてどの値が頻出か見る	ds.mode()
option: ダークオレンジ色を使う	color = 'darkorange'
グリーンイエロー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='greenyellow')
指定した列のカテゴリで集計し、それぞれの標準偏差を求める	df.groupby('列A').std()
データフレームのn行目をドロップする	df.drop(n, axis=0, inplace=True)
文字コードに対応する文字	chr(unicode)
横棒グラフの色をカーキにする	plt.barh(データ列x, データ列y, color='khaki')
ブランチドアーモンド色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='blanchedalmond')
横棒グラフの色をオールドレースにする	plt.barh(データ列x, データ列y, color='oldlace')
option: 配列のデータ型を指定する	dtype = np.uint8
option: グラフの色を淡いピンク色に設定する	color = 'lightpink'
データフレームを残差プロットする	sns.residplot(x='列名', y='列名', data=df)
リストとリストについて散布図を描画して、マーカーを星に設定する	plt.plot(データ列x, データ列y, marker='*')
イテラブルを文字列リストに変換して、カンマで連結する	','.join(map(str, iterable))
棒グラフの色をライトスレイグレーにする	plt.bar(データ列x, データ列y, color='lightslategrey')
option: グラフの色をラベンダーブラッシュに設定する	color = 'lavenderblush'
折れ線グラフの色を淡いピンク色に設定する	plt.plot(データ列x, データ列y, color='lightpink')
文字列をカンマで区切って、列挙する	s.split(',')
option: 青紫色を使う	color = 'violet'
option: グラフの色をダーク・スラテグレーに設定する	color = 'darkslategrey'
データフレームから一つの列を抽出する	df[['列A']]
日付時刻データをタプルに変換する	aDatetime.timetuple()
ヒストグラムの色をレモンシフォンに設定する	plt.hist(データ列, color='lemonchiffon')
ダークオリーブグリーン色のヒストグラムを描画する	plt.hist(データ列, color='darkolivegreen')
棒グラフをゲインズボロ色で描画する	plt.bar(データ列x, データ列y, color='gainsboro')
データフレームの選択したカラムの統計量	df[['列A', '列B']].describe()
赤いヒストグラムを描画する	plt.hist(データ列, color='r')
オブジェクトのプロパティの値を設定する	setattr(obj, プロパティ名, 値)
数式を部分分数に展開する	sympy.apart(e)
グリッドの線の種類を点線に変更する	plt.grid(linestyle='dotted')
option: マーカーの色をダークオーキッドにする	markerfacecolor = 'darkorchid'
既存のファイルをBOM付きで追加できるようにオープンする]	open(filepath, mode='a', encoding='utf_8_sig')
データ列を四分位数ごとにビン分割する	pd.qcut(ds, 4)
耐火レンガ色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='firebrick')
横棒グラフをブラック色で描画する	plt.barh(データ列x, データ列y, color='black')
nが奇数か調べる	n % 2 == 1
オールドレース色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='oldlace')
ミディアムオーキッド色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='mediumorchid')
ライトグレー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='lightgrey')
文字列の変数名を数式に変換する	sympy.Symbol(s)
自然数個のものからk個取り出したときの並べ方の総数	math.perm(n, k)
option: グラフの色をグリーンイエローに設定する	color = 'greenyellow'
日付データををn秒後に進める	aDate + datetime.timedelta(seconds=n)
データシリーズを千の位で丸めて、整数型にする	ds.round(-3).astype(int)
マルーン色のヒストグラムを描画する	plt.hist(データ列, color='maroon')
配列のケンドールの相関係数を求める	scipy.stats.kendalltau(配列, 配列2)
ヒストグラムの色をアリスブルーに設定する	plt.hist(データ列, color='aliceblue')
横棒グラフをミスティローズ色で描画する	plt.barh(データ列x, データ列y, color='mistyrose')
青紫色の散布図を描画する	plt.scatter(データ列x, データ列y, color='violet')
オブジェクトは文字列クラスか調べる	isinstance(obj, str)
回帰木分析の準備をする	model = sklearn.tree.DecisionTreeRegressor()
文字列の開始位置以降が部分文字列で始まるか調べる	s.startswith(sub, start)
折れ線グラフをインディアンレッド色で描画する	plt.plot(データ列x, データ列y, color='indianred')
option: マーカーの色をライトブルーにする	markerfacecolor = 'lightblue'
option: コーンズシルク色を使う	color = 'cornsilk'
リストとリストについて散布図を描画して、マーカーを四角に設定する	plt.plot(データ列x, データ列y, marker='s')
option: グラフの色をライトグレーに設定する	color = 'lightgrey'
データフレームを散布図で可視化して、カテゴリ別に色を変える	sns.scatterplot(data=df, x='列名', y='列名', hue='カテゴリ列')
データシリーズが何時か見る	ds.dt.hour
横棒グラフをピーチパフ色で描画する	plt.barh(データ列x, データ列y, color='peachpuff')
