折れ線の線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n)
リストとイテラブルについての散布図に赤い▼マーカーを描画する	plt.plot(xdata, ydata, marker='v', c='r')
ヒストグラムを描画して、色を黄色くする	plt.hist(データ列, color='y')
黒色の暗いグラフを描画する	plt.plot(xdata, ydata, linestyle='dark', color='k')
ヒストグラムの色をネイビーにセットする	plt.hist(データ列, color='navy')
ファイルのファイル名	os.path.basename(filepath)
文字列の開始位置から終了位置の間で部分文字列の登場	s.count(sub, start, end)
要素は集合に含まれないかどうか調べる	element not in aSet
線グラフの色をスプリンググリーンに変更する	plt.plot(データ列, データ列2, color='springgreen')
リストとリストについて破線グラフを描いて、その色をパステル調のに指定する	plt.plot(xdata, ydata, linestyle='dash', color='pastel')
パレットトルコイズにヒストグラムの色を設定する	plt.hist(データ列, color='paleturquoise')
一方に含まれ他方に含まれない集合	aSet.difference(aSet2)
ライトグリーン色の線グラフを描画する	plt.plot(データ列, データ列2, color='lightgreen')
整数nの八進文字列	oct(n)[2:]
文字列内にひとつでも数字が含まれる	any(c.isdigit() for c in s)
データフレームのグループ毎の標準偏差	df.groupby(column).std()
折れ線グラフを描画してその色をミントクリームに設定する	plt.plot(データ列, データ列2, color='mintcream')
＜オプション＞色をプラムにセットする	color = 'plum'
データ列の尖度	ds.skew()
カウンタから最も頻出な要素の件数を算出する	aCounter.most_common()[1]
＜オプション＞ダークオリーブグリーンにグラフの色を指定する	color = 'darkolivegreen'
青い濃いをプロットする	plt.plot(xdata, ydata, linestyle='deep', color='b')
ふたつの関係が上位集合もしくは等しいか調べる	aSet > aSet2
最小値でデータフレームのカラムの欠損値を埋める	df[col].fillna(df[col].min())
TSVをヘッダを指定せず読み込む	pd.read_csv(filename, header=None)
列をキーにして２つのデータフレームを内部結合する	pd.merge(df, df2, on=column, how='inner')
データフレームのそれぞれのグループごとの分散を求める	df.groupby(column).var()
データフレームの欠損値を前の行の値にする	df.fillna(method='ffill')
小数点数の双曲線正弦	math.sinh(x)
折れ線グラフの印をバツ印にする	plt.plot(データ列, データ列2, marker='x')
両端キューの要素をインプレースに逆順にする	deq.reverse()
＜オプション＞グラフの色をスレートブルーに指定する	color = 'slateblue'
スラグレーにヒストグラムの色をセットする	plt.hist(データ列, color='slategrey')
データ列を等間隔でn個に分割する	pd.cut(ds, n)
データフレームのリストカラムの中に文字列と文字列がいくつ存在するか数える	df[aList].isin([value, value2]).sum()
降順にデータフレームを破壊的に列でソートする	df.sort_values(by=column, ascending=False, inplace=True)
整数が整数か	x.is_integer()
オブジェクトは集合クラス	isinstance(obj, set)
データ列の中に文字列が存在する	ds.isin([value])
折れ線グラフの色をやわらかい青に設定する	plt.plot(データ列, データ列2, color='cornflowerblue')
赤い右三角マーカーを用いて散布図を描画する	plt.plot(xdata, ydata, marker='>', c='r')
全要素を1で初期化された配列	np.ones(要素数, dtype=np.int)
＜オプション＞先頭のカラムをインデックスに設定する	index_col = 0
二つのマッピングをネスト化する	collections.ChainMap(aDict, aDict2)
画面用にグラフを設定する	sns.set(context='notebook')
データフレームから重複するデータを削除する	df.drop_duplicates()
改行	'\n'
ヒストグラムを描画してその色をスラグレーに指定する	plt.hist(データ列, color='slategray')
n2がn以上、かつ、n3以下か	n <= n2 and n2 <= n3
文字列中に部分文字列が含まれないか	sub not in s
文字列を区切りで区切り、列挙する	s.split(sep)
黒い折れ線グラフを描画する	plt.plot(データ列, データ列2, color='k')
カラムの欠損値を最頻値にセットする	ds.fillna(ds.mode().iloc[0])
ヒストグラムの色を赤に指定する	plt.hist(データ列, color='red')
青い濃いを描画する	plt.plot(xdata, ydata, linestyle='deep', color='b')
ファイルを開く]	open(filepath)
文字列にイテラブルを変換して、空白で結合する	' '.join(map(str, iterable))
白色の線グラフを描画する	plt.plot(データ列, データ列2, color='white')
データフレームの中の列をビン数nでビン分割する	pd.cut(df[col], n)
二進文字列を整数に変換する	int(s, 2)
＜オプション＞ミディアムパープル色を使う	color = 'mediumpurple'
データフレームの中の欠損値の合計をカウントする	df.isna().sum()
データフレームの列の値がxでない行をフィルタする	df[df[column] == x]
ヒストグラムを描画して、色をサーモンに設定する	plt.hist(データ列, color='salmon')
線グラフを描画して、色をミディアムバイオレットレッドに設定する	plt.plot(データ列, データ列2, color='mediumvioletred')
標準入力から1文字だけ読み込む	sys.stdin.read(1)
値を下線付きでプリントできる文字列に変換する	f'\033[4m{value}\033[0m'
折れ線グラフを描画して、その色をトマトに設定する	plt.plot(データ列, データ列2, color='tomato')
＜オプション＞グラフの色をダークスラテグレーに設定する	color = 'darkslategray'
＜オプション＞ASCII文字に限定する	flag = re.ASCII
ダーク・スラテグレーにヒストグラムの色を指定する	plt.hist(データ列, color='darkslategrey')
青緑色の線グラフを描画する	plt.plot(データ列, データ列2, color='teal')
二つの実行結果を改行なしにプリントする	print(value, value2, end='')
平均と標準偏差から疑似乱数を発生させる	random.normalvariate(mu=0.5, sigma=0.2)
データフレームをインポートする	import pandas as pd
日付データが日付データより遅い	aDate > aDate2
表データのデータ型リスト	df.dtypes
リストをパステル調の色のヒストグラムで描画する	plt.hist(xdata, color='pastel')
データフレームのカラムが正規表現文字列にマッチする行を抽出する	df[df[column].str.match(s)]
線グラフを描画して、その色をダークグレーに設定する	plt.plot(データ列, データ列2, color='darkgrey')
マゼンタ色の線グラフを描画する	plt.plot(データ列, データ列2, color='magenta')
プラットホームのエンコーディングを使う	sys.getdefaultencoding()
ミディアムシアグリーン色のヒストグラムを描画する	plt.hist(データ列, color='mediumseagreen')
nの2乗を求める	n ** 2
線グラフを描画して、その色をダークレッドに設定する	plt.plot(データ列, データ列2, color='darkred')
カウンタ同士でユニオン	aCounter | aCounter2
ナバホホワイト色のヒストグラムを描画する	plt.hist(データ列, color='navajowhite')
青い右三角マーカーを折れ線グラフに描画する	plt.plot(データ列, データ列2, marker='>', markerfacecolor='b')
＜オプション＞パウダーブルーにグラフの色を設定する	color = 'powderblue'
＜オプション＞ダイアモンドマーカーを使う	marker = 'D'
ヒストグラムを描画して、その色をプラムに変更する	plt.hist(データ列, color='plum')
