option: 赤色を使う	color = 'red'
折れ線グラフをライトサーモン色で描画する	plt.plot(データ列x, データ列y, color='lightsalmon')
データフレームの指定したカラムの欠損値を平均値に設定する	df['列A'].fillna(df['列A'].mean())
データフレームの末尾10行を抽出する	df.tail(10)
黒い左三角マーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='<', c='k')
青い棒グラフを描画する	plt.bar(データ列x, データ列y, color='b')
折れ線グラフをオリベドラブ色で描画する	plt.plot(データ列x, データ列y, color='olivedrab')
折れ線グラフをアンティークホワイト色で描画する	plt.plot(データ列x, データ列y, color='antiquewhite')
ヒストグラムの色を小麦色に設定する	plt.hist(データ列, color='wheat')
グラフのカラーパレットを濃くする	sns.set(pallete='deep')
文字列がリストの要素か調べる	element in aList
行列のムーア・ペンローズの擬似逆行列	np.linalg.pinv(aArray)
ブラック色で縦棒グラフを描画する	plt.bar(データ列x, データ列y, color='black')
ファイルをバイナリ書き込み用に開く]	open(filepath, mode='wb')
文字列の右端から空白を取り除く	s.rstrip(' ')
散布図に赤い丸マーカーを描画する	plt.scatter(データ列x, データ列y, marker='o', markerfacecolor='r')
インデント付きで辞書を文字列に変換する	json.dumps(aDict, ensure_ascii=False, indent=n)
ゲインズボロ色のヒストグラムを描画する	plt.hist(データ列, color='gainsboro')
コーンズシルク色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='cornsilk')
データシリーズの日	ds.dt.day
棒グラフの色をオーキッドにする	plt.bar(データ列x, データ列y, color='orchid')
データフレームの空文字をNaNに変換しドロップする	df.replace('', np.nan).dropna()
イエローグリーン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='yellowgreen')
散布図のマーカーの色を変える	plt.scatter(データ列x, データ列y, markerfacecolor='#800080')
データフレームをCSVファイルにヘッダを付けず保存する	df.to_csv('file.csv', header=None)
本日は何月か知る	datetime.datetime.today().month
行列の行ごとの分散を求める	np.var(aArray, axis=1)
文字列の終了位置より前に部分文字列が含まれないか	s.find(sub, 0, end) == -1
カウンタ同士でユニオン演算する	aCounter | aCounter2
データフレームの列の各データ値の出現数	df[col].value_counts()
ペルー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='peru')
データフレームの中にいくつ欠損値があるか数える	df.isna().sum()
範囲を指定して整数乱数を生成する	random.randint(最小値, 最大値)
数式を簡単にする	sympy.sympify(e)
xの小数点以下'2'桁までプリントする	print(':.2f'.format(x))
フォレストグリーン色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='forestgreen')
線グラフの色をカデットブルーに指定する	plt.plot(データ列x, データ列y, color='cadetblue')
データフレームのある列の値がxより小さい行を抽出する	df[df['列A'] < x]
実数以上の最小の整数	math.ceil(x)
折れ線グラフをグリーンイエロー色で描画する	plt.plot(データ列x, データ列y, color='greenyellow')
ヒストグラムを青くする	plt.hist(データ列, color='b')
文字列リストに列を変換して、部分文字列でつなげる	sub.join(map(str, iterable))
option: イエローグリーン色を用いる	color = 'yellowgreen'
option: バイナリ書き込みモードを使う	mode = 'wb'
データフレームから同じ内容の行を削除する	df.drop_duplicates(inplace=True)
黒い丸マーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='o', c='k')
文字列中の部分文字列を別の文字列に置き換える	s.replace(sub, newsub)
文字列中の部分文字列を新しい文字列に回数を制限して置き換える	s.replace(sub, newsub, n)
横軸の目盛を非表示にする	plt.xticks([])
散布図の菱形印を青色にする	plt.scatter(データ列x, データ列y, marker='D', markerfacecolor='b')
散布図をライトグリーン色を用いて描画する	plt.scatter(データ列x, データ列y, color='lightgreen')
ファイルからの読み込みストリームを見る	open(filepath)
option: マーカーの色をハニーデューにする	markerfacecolor = 'honeydew'
コルモゴロフ・スミルノフ検定を行う	scipy.stats.kstest(df['列A'], 'norm')
ライトスカイブルー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='lightskyblue')
option: マーカーの色をパウダーブルーにする	markerfacecolor = 'powderblue'
option: アクアマリンにグラフの色を指定する	color = 'aquamarine'
横軸の表示範囲を変更する	plt.xlim(最小値, 最大値)
散布図をフローラルホワイト色で描画する	plt.scatter(データ列x, データ列y, color='floralwhite')
ローングリーン色で折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='lawngreen')
横棒グラフの色をオレンジレッドにする	plt.barh(データ列x, データ列y, color='orangered')
日付データにn週間分加算する	aDate + datetime.timedelta(weeks=n)
スカイブルー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='skyblue')
散布図をライトイエロー色として描画する	plt.scatter(データ列x, データ列y, color='lightyellow')
円グラフの割合を表示する	plt.pie(データ列, startangle=90, autopct='%.2f%%')
ブルーバイオレット色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='blueviolet')
行列の行	aArray[行番号]
データフレームのあるカラムをタイムスタンプに変換し、データフレームのインデックスにする	df.index = pd.DatetimeIndex(pd.to_datetime(df['列A']))
スラグレー色の線グラフを描画する	plt.plot(データ列x, データ列y, color='slategrey')
日付を表現した文字列をタイムスタンプに変換する	pd.to_datetime(日付を表現した文字列)
データフレームの先頭10行	df.head(10)
散布図をスカイブルー色を用いて描画する	plt.scatter(データ列x, データ列y, color='skyblue')
ファイルを追加用にオープンする]	open(filepath, mode='a')
nが一桁の整数か調べる	0 <= n <= 9
棒グラフの色を珊瑚にする	plt.bar(データ列x, データ列y, color='coral')
折れ線グラフを半透明の実線で描画する	plt.plot(データ列x, データ列y, linestyle='solid', alpha=0.5)
折れ線グラフの色をラベンダーブラッシュに変更する	plt.plot(データ列x, データ列y, color='lavenderblush')
数式を部分分数に展開する	sympy.apart(e)
データ列の文字列長を列として使う	ds.str.len()
nをn2で整数除算する	n // n2
確率的勾配降下で回帰分析を行う	model = sklearn.linear_model.SGDRegressor()
ロージーブラウン色のヒストグラムを描画する	plt.hist(データ列, color='rosybrown')
データフレームの指定したカラムの第一四分位数を求める	df['列A'].quantile(0.25)
散布図に下三角マーカーを使う	plt.scatter(データ列x, データ列y, marker='v')
文字列が片仮名かどうか調べる	('ァ' <= ch <= 'ン')
グラフのx軸とy軸の比率を等しくする	plt.axis('equals')
空のタプル	()
文字列中から正規表現にASCII限定としてマッチする文字列を探す	re.search(pattern, s, flags=re.ASCI)
オブジェクトひとつのタプルを得る	(element,)
ヒストグラムをホワイト色として描画する	plt.hist(データ列, color='white')
ライトコーラル色の散布図を描画する	plt.scatter(データ列x, データ列y, color='lightcoral')
JSONフォーマットの文字列をデータに変換する	json.loads(b.decode('unicode-escape'))
項目名が辞書上で定義済みかどうか調べる	key in aDict
