文字列を複数行対応としてパターンで区切る	re.split(pattern, s, flags=re.MULTILINE)
折れ線グラフに緑色の菱形印を描画する	plt.plot(データ列, データ列2, marker='D', markerfacecolor='g')
リストを集合に変換する	set(iterable)
ポイントマーカーで散布図を描画する	plt.plot(xdata, ydata, marker='.')
コマンドの第一引数を知る	sys.argv[1]
データフレームの列の名前を付け直す	df.rename(columns={column: name})
折れ線グラフに右三角マーカーを使う	plt.plot(データ列, データ列2, marker='>')
numpyを使う	import numpy as np
ふたつの集合の共通要素だけに更新する	aSet.intersection_update(aSet2)
データフレームのリスト列の未入力値を中央値に設定する	df[aList].fillna(df[aList].median())
整数nを二進表現に変換する	bin(n)
文字列を代数計算の変数に変換する	sympy.Symbol(s)
部分文字列か調べる	sub in s
日付データからn週間を減算する	aDate - datetime.timedelta(weeks=n)
本日が火曜日かどうかテストする	datetime.datetime.today().weekday() == 1
タプルをJSON形式でファイル出力に保存する	json.dump(aDict, fout, ensure_ascii=False)
オプションで、標準エラーに出力する	file = sys.stderr
データフレームのリストカラムの分散	df[aList].var()
データフレームを複数の列によってによって破壊的にソートする	df.sort_values(by=column, inplace=True)
＜オプション＞シアンを使う	color = 'cyan'
折れ線グラフの色をインディアンレッドに設定する	plt.plot(データ列, データ列2, color='indianred')
グリーンイエロー色の線グラフを描画する	plt.plot(データ列, データ列2, color='greenyellow')
日付時刻データが何秒か知る	aDatetime.second
データフレームのカラムの日	df[col].dt.day
データフレームを各列毎にグループ化し、、文字列というグループの大きさを計算する	df.groupby(column).size()[s]
＜オプション＞青色を使う	color = 'blue'
ヒストグラムを描画して、色をスプリンググリーンに設定する	plt.hist(データ列, color='springgreen')
折れ線グラフの色をラベンダーに設定する	plt.plot(データ列, データ列2, color='lavender')
データフレームを列によってグループ化して、それぞれのグループごとの最小値を求める	df.groupby(column).min()
代数計算を使う	import sympy
ペアリストpairsからカウンタを作る	collections.Counter(dict(pairs))
折れ線グラフの色をドジャーブルーに指定する	plt.plot(データ列, データ列2, color='dodgerblue')
イテラブルとイテラブルをペアのリストにする	itertools.zip_longest(iterable, iterable2)
リストの末尾から要素をポップする	aList.pop()
配列とイテラブルの色差別ないを描画して、その色を青にする	plt.plot(xdata, ydata, linestyle='colorblind', color='b')
データフレームの中の欠損値を削除する	df.dropna()
ヒストグラムの色をミスティローズに設定する	plt.hist(データ列, color='mistyrose')
ヒストグラムを描画して、その色をアリスブルーに設定する	plt.hist(データ列, color='aliceblue')
文字列のカタカナを平仮名にする	''.join([chr(ord(ch) - 96) if ('ァ' <= ch <= 'ン') else ch for ch in s])
＜オプション＞グラフの色をコーンフラワーブルーに設定する	color = 'cornflowerblue'
グラフを暗くする	sns.set(pallete='dark')
赤色の暗いをプロットする	plt.plot(xdata, ydata, linestyle='dark', color='r')
リストとリストについての散布図に赤いバツマーカーを描画する	plt.plot(xdata, ydata, marker='x', c='r')
インディゴ色の線グラフを描画する	plt.plot(データ列, データ列2, color='indigo')
データフレームを複数の列でまとめた表	df.groupby(columns)
データフレームのカテゴリデータをダミー変数に変換する	pd.get_dummies(df)
＜オプション＞三角マーカーを描画する	marker = '^'
淡いグラフの色を黒にする	plt.plot(xdata, ydata, linestyle='muted', color='k')
ヒストグラムの色をホットピンクに設定する	plt.hist(データ列, color='hotpink')
ファイルからエクセルファイルを読み込む	pd.read_excel(filename)
ダークオレンジ色の線グラフを描画する	plt.plot(データ列, データ列2, color='darkorange')
列一覧を見る	df.info()
文字列を走査し、正規表現にマッチするか見る	re.search(pattern, s)
xの小数点以下'5'桁までをプリントする	print(':.5f'.format(x))
折れ線グラフに黄色いダイアモンドマーカーを描画する	plt.plot(データ列, データ列2, marker='D', markerfacecolor='y')
コーンフラワーブルー色のヒストグラムを描画する	plt.hist(データ列, color='cornflowerblue')
データフレームを各列と列の組み合わせ毎にグループ化して、標準偏差を求める	df.groupby([column, column2], as_index=False).std()
リストとリストの色差別ないグラフを描画して、その色を青にする	plt.plot(xdata, ydata, linestyle='colorblind', color='b')
＜オプション＞シエナ色を使う	color = 'sienna'
グラフのサイズを横width縦heightに設定する	plt.figure(figsize=(width, height))
＜オプション＞色をブランチドアーモンドに変更する	color = 'blanchedalmond'
ヒストグラムを描画して、その色をミディアムスプリンググリーンに設定する	plt.hist(データ列, color='mediumspringgreen')
標準入力から1行だけ読み込んで改行を取り除く	sys.stdin.readline().rstrip()
折れ線グラフを描画して、その色をアリスブルーに設定する	plt.plot(データ列, データ列2, color='aliceblue')
＜オプション＞ミディアムスレートブルー色を使う	color = 'mediumslateblue'
データフレームを列名リストで並べ直し、、更新する	df.sort_values(by=column, inplace=True)
nが2で割り切れる	n % 2 == 0
エラーなく集合から要素を取り除く	aSet.discard(element)
淡い色のマーカーで散布図を重なりを見やすく描画する	plt.plot(xdata, ydata, c='muted', alpha=0.5)
折れ線グラフを描画して、その色をミディアムブルーに設定する	plt.plot(データ列, データ列2, color='mediumblue')
データフレームを列によってソートして、インデックスを振り直す	df.sort_values(columns).reset_index(drop=True)
ファイルを文字列の示すエンコーディングで書き込み用に開く]	open(filepath, mode='w', encoding=s)
ピアソン相関係数でデータフレームの相関行列	df.corr(method='pearson')
ヒストグラムの色をシーグリーンに設定する	plt.hist(データ列, color='seagreen')
文字列内にひとつでもアルファベットが含まれるか調べる	any(c.isalpha() for c in s)
nが3の倍数か調べる	n % 3 == 0
リストとデータ列の折れ線グラフを描く	plt.plot(xdata, ydata)
ヒストグラムを描画して、その色を貝殻に設定する	plt.hist(データ列, color='seashell')
ファイルをバイナリできるように開く]	open(filepath, mode='rb')
上位集合か調べる	aSet.issuperset(aSet2)
データフレームの中で、列と列に重複があるか見る	df.duplicated(subset=[column, column2])
データ列をn個にビン分割して、namesのラベルをつける	pd.cut(ds, n, labels=names)
データ列を等量でn個にビン分割する	pd.qcut(ds, n)
配列をビン数nでビン分割して、namesのラベルをつける	pd.cut(aArray, n, labels=names)
明るいグラフの色を黒にする	plt.plot(xdata, ydata, linestyle='bright', color='k')
プログラムの実行を強制的に終了する	sys.exit()
文字列の開始位置から終了位置まで部分文字列を探す	s.find(sub, start, end)
タプル内の要素が全て真か調べる	all(aTuple)
